data,ora,canale,formato,titolo,testo,hashtag,board,asset,link,stato,approva_umano
2026-07-01,10:00,Pinterest,Pin,Come tenere i soldi sotto controllo (senza app),"Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-00.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-02,10:00,Email,Newsletter,Dove sono finiti i soldi questo mese?,Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Scopri Smart Budget Tracker: https://www.etsy.com/it/listing/IL-TUO-LISTING,,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-02,10:00,Instagram,Reel,Ho smesso di stressarmi per i soldi con un solo foglio.,"Ho smesso di stressarmi per i soldi con un solo foglio.

Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Salva questo post e provalo questo mese. 💸
Link in bio 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-02,10:00,Instagram,Story,Story: sondaggio/teaser,"Nessuno te lo dice, ma ti basta UN file per gestire i soldi. (sticker domanda + link allo shop)",,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-02,10:00,Pinterest,Pin,Il budget planner che si compila da solo,"Stanco di non sapere dove vanno i soldi? Questo tracker spese calcola tutto da solo. Download digitale, personalizzabile. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #finanzepersonali #budget #excel",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-01.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-03,10:00,Pinterest,Pin,Risparmia di più ogni mese con 1 foglio Excel,Il metodo semplice per gestire budget planner e risparmiare ogni mese senza app a pagamento. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #risparmiosoldi #budgetmensile #planner,#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-02.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-03,10:00,TikTok,Reel,Il motivo per cui non riesci a risparmiare non è lo stipendio.,"Il motivo per cui non riesci a risparmiare non è lo stipendio.

Niente app, niente abbonamenti: solo un foglio che lavora per te.
Lo trovi su Etsy, link in bio. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-06,10:00,Instagram,Story,Story: sondaggio/teaser,Ho provato 4 app di budget. Questo foglio le batte tutte. (sticker domanda + link allo shop),,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-06,10:00,Pinterest,Pin,Smetti di chiederti dove finiscono i soldi,"Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-03.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-07,10:00,Instagram,Reel,Da caos a controllo totale in 5 minuti al mese.,"Da caos a controllo totale in 5 minuti al mese.

Commenta ""BUDGET"" e ti mando il link. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
